Date,Heure_Minutes,Chronons,Nombre_Poissons,Nombre_Requins
02/05/25,13:58,68,22,19
02/05/25,13:58,26,33,11
02/05/25,13:58,38,26,16
02/05/25,13:58,60,34,16
02/05/25,13:58,62,14,0
02/05/25,14:16,80,49,17
02/05/25,14:16,14,28,15
02/05/25,14:16,91,4,9
02/05/25,14:16,57,20,13
02/05/25,14:16,7,31,11
02/05/25,13:58,68,22,19
02/05/25,13:58,26,33,11
02/05/25,13:58,38,26,16
02/05/25,13:58,60,34,16
02/05/25,13:58,62,14,0
02/05/25,14:16,80,49,17
02/05/25,14:16,14,28,15
02/05/25,14:16,91,4,9
02/05/25,14:16,57,20,13
02/05/25,14:16,7,31,11
02/05/25,13:58,68,22,19
02/05/25,13:58,26,33,11
02/05/25,13:58,38,26,16
02/05/25,13:58,60,34,16
02/05/25,13:58,62,14,0
02/05/25,14:16,80,49,17
02/05/25,14:16,14,28,15
02/05/25,14:16,91,4,9
02/05/25,14:16,57,20,13
02/05/25,14:16,7,31,11
02/05/25,13:58,68,22,19
02/05/25,13:58,26,33,11
02/05/25,13:58,38,26,16
02/05/25,13:58,60,34,16
02/05/25,13:58,62,14,0
02/05/25,14:16,80,49,17
02/05/25,14:16,14,28,15
02/05/25,14:16,91,4,9
02/05/25,14:16,57,20,13
02/05/25,14:16,7,31,11
